relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Screening & Surveillance/Passive/Integration of Human African Trypanosomiasis Control Activities into Primary Healthcare Services - A Scoping Review.pdf	Integration of Human African Trypanosomiasis Control Activities into Primary Healthcare Services - A Scoping Review.pdf	Screening & Surveillance	pdf	313725	2025-03-24	Paper	gHAT / HAT	Africa	implementation research	Passive			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Screening & Surveillance/Passive/Passive Screening and Diagnosis of Sleeping Sickness with New Tools in Primary Health Services An Operational Research.pdf	Passive Screening and Diagnosis of Sleeping Sickness with New Tools in Primary Health Services An Operational Research.pdf	Screening & Surveillance	pdf	937885	2023-12-20	Paper	gHAT / HAT		implementation research	Passive			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Screening & Surveillance/Passive/Passive screening Guinée/fig2 clinical signs.tif	fig2 clinical signs.tif	Screening & Surveillance	tif	335540	2022-12-14	Paper	gHAT / HAT	Guinea	diagnostic evaluation	Passive		Clinical signs	PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to passive surveillance redesign	seeded
Screening & Surveillance/Passive/Passive screening Guinée/fig3 vendiagram RDTs.tif	fig3 vendiagram RDTs.tif	Screening & Surveillance	tif	213866	2022-12-14	Paper	gHAT / HAT	Guinea	diagnostic evaluation	Passive			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to passive surveillance redesign	seeded
Screening & Surveillance/Passive/Performance_of_clinical_signs_and_symptoms_rapid_a.pdf	Performance_of_clinical_signs_and_symptoms_rapid_a.pdf	Screening & Surveillance	pdf	1208038	2024-03-28	Paper	gHAT / HAT		diagnostic evaluation	Passive			PhD / sleeping-sickness	Article 3: test performance and quality	High relevance to diagnostic performance article	seeded
Screening & Surveillance/Passive/Tropical Med Int Health - 2014 - Mitashi - Integration of diagnosis and treatment of sleeping sickness in primary.pdf	Tropical Med Int Health - 2014 - Mitashi - Integration of diagnosis and treatment of sleeping sickness in primary.pdf	Screening & Surveillance	pdf	175419	2025-02-26	Paper	gHAT / HAT		implementation research	Passive			PhD / sleeping-sickness	Article 2/4: passive screening system and integration	High relevance to passive surveillance redesign	seeded
Statistics & Mathematical Modelling/2. Screening Strategies for a Sustainable Endpoint for.pdf	2. Screening Strategies for a Sustainable Endpoint for.pdf	Statistics & Mathematical Modelling	pdf	449057	2023-11-13	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Data-driven models to predict the elimination of sleeping sickness in.pdf	Data-driven models to predict the elimination of sleeping sickness in.pdf	Statistics & Mathematical Modelling	pdf	3866023	2023-11-13	Paper	gHAT / HAT		modelling	Surveillance strategy	Elimination		PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Identifying regions for enhanced control of gambiense sleeping sickness in the Democratic Republic of Congo.pdf	Identifying regions for enhanced control of gambiense sleeping sickness in the Democratic Republic of Congo.pdf	Statistics & Mathematical Modelling	pdf	2192928	2023-12-20	Paper	gHAT / HAT	Republic of Congo	modelling	Surveillance strategy			PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to post-elimination sampling logic	seeded
Statistics & Mathematical Modelling/Implications of seasonal variations, host and vector migration on spatial spread of sleeping sickness mathematical.pdf	Implications of seasonal variations, host and vector migration on spatial spread of sleeping sickness mathematical.pdf	Statistics & Mathematical Modelling	pdf	6305074	2023-11-20	Paper	gHAT / HAT		modelling	Surveillance strategy			PhD / sleeping-sickness	Article 6: sampling and modelling	High relevance to post-elimination sampling logic	seeded
