relative_path	basename	top_folder	extension	size_bytes	modified_date	entity_type	disease	geography	method	surveillance_mode	elimination_phase	diagnostic_test	project_link	phd_article_link	relevance_note	status
Epidemiology/Epidemiology of human African trypanosomiasis.pdf	Epidemiology of human African trypanosomiasis.pdf	Epidemiology	pdf	1386307	2023-11-30	Paper	gHAT / HAT	Africa					PhD / sleeping-sickness			to_triage
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/12942_2015_Article_13.pdf	12942_2015_Article_13.pdf	Epidemiology	pdf	2819012	2024-04-08	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Attendance rate in HAT active screening activities in the provinces of DRC (period 2000-2012).docx	Attendance rate in HAT active screening activities in the provinces of DRC (period 2000-2012).docx	Epidemiology	docx	16116	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology	Active			PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/HAT control and surveillance in the Provinces of DRC (2000-2012).xlsx	HAT control and surveillance in the Provinces of DRC (2000-2012).xlsx	Epidemiology	xlsx	139290	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology		Elimination monitoring		PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Human African trypanosomiasis in the Democratic Republic of the Congo disease distribution and risk.pdf	Human African trypanosomiasis in the Democratic Republic of the Congo disease distribution and risk.pdf	Epidemiology	pdf	1227637	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/Progress status of mapping for HAT cases and geographic locations in DRC (period 2000 – 2012), and geographical accuracy of mapped villages.docx	Progress status of mapping for HAT cases and geographic locations in DRC (period 2000 – 2012), and geographical accuracy of mapped villages.docx	Epidemiology	docx	19649	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the DRC and its Provinces (2003-2007 and 2008-2012).docx	The distribution of HAT in the DRC and its Provinces (2003-2007 and 2008-2012).docx	Epidemiology	docx	28387811	2024-04-08	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The distribution of HAT in the Provinces of DRC (2000-2012).docx	The distribution of HAT in the Provinces of DRC (2000-2012).docx	Epidemiology	docx	13217660	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in DRC (2003-2007 and 2008-2012).docx	The risk of HAT in DRC (2003-2007 and 2008-2012).docx	Epidemiology	docx	28673	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
Epidemiology/Human African trypanosomiasis in the Democratic Republic of the Congo - disease distribution and risk/The risk of HAT in the provinces of DRC (2003-2007 and 2008-2012).docx	The risk of HAT in the provinces of DRC (2003-2007 and 2008-2012).docx	Epidemiology	docx	14357230	2024-01-22	Paper	gHAT / HAT	DRC	spatial epidemiology				PhD / sleeping-sickness	Article 1: historical risk mapping and foci	High relevance to historical risk and focus delineation	seeded
